,number_of_a,number_of_b,number_of_used_a,number_of_used_b,status,Total cost
0,0,0,0,0,Infeasible,4746468
1,0,1,0,1,Infeasible,4733023
2,0,2,0,2,Infeasible,6028434
3,0,3,0,3,Infeasible,2210883
4,0,4,0,4,Infeasible,4475606
5,0,5,0,5,Infeasible,2142713
6,0,6,0,6,Infeasible,2204166
7,0,7,0,7,Infeasible,1768310
8,0,8,0,8,Infeasible,2727571
9,0,9,0,9,Infeasible,1544311
10,0,10,0,10,Infeasible,1502672
11,0,11,0,11,Infeasible,1523172
12,0,12,0,12,Infeasible,1499595
13,0,13,0,13,Optimal,1476856
14,0,14,0,13,Optimal,1476856
15,0,15,0,13,Optimal,1476856
16,0,16,0,13,Optimal,1476856
17,0,17,0,13,Optimal,1476856
18,0,18,0,13,Optimal,1476856
19,0,19,0,13,Optimal,1476856
20,0,20,0,13,Optimal,1476856
21,0,21,0,13,Optimal,1476856
22,0,22,0,13,Optimal,1476856
23,0,23,0,13,Optimal,1476856
24,0,24,0,13,Optimal,1476856
25,0,25,0,13,Optimal,1476856
26,0,26,0,13,Optimal,1476856
27,0,27,0,13,Optimal,1476856
28,0,28,0,13,Optimal,1476856
29,0,29,0,13,Optimal,1476856
30,0,30,0,13,Optimal,1476856
31,0,31,0,13,Optimal,1476856
32,0,32,0,13,Optimal,1476856
33,0,33,0,13,Optimal,1476856
34,0,34,0,13,Optimal,1476856
35,0,35,0,13,Optimal,1476856
36,0,36,0,13,Optimal,1476856
37,0,37,0,13,Optimal,1476856
38,0,38,0,13,Optimal,1476856
39,0,39,0,13,Optimal,1476856
40,0,40,0,13,Optimal,1476856
41,0,41,0,13,Optimal,1476856
42,0,42,0,13,Optimal,1476856
43,0,43,0,13,Optimal,1476856
44,0,44,0,13,Optimal,1476856
45,0,45,0,13,Optimal,1476856
46,0,46,0,13,Optimal,1476856
47,0,47,0,13,Optimal,1476856
48,0,48,0,13,Optimal,1476856
49,0,49,0,13,Optimal,1476856
50,1,0,1,0,Infeasible,3385638
51,1,1,1,1,Infeasible,3400145
52,1,2,1,2,Infeasible,3161883
53,1,3,1,3,Infeasible,2923621
54,1,4,1,4,Infeasible,2583973
55,1,5,1,5,Infeasible,3185751
56,1,6,1,6,Infeasible,2767165
57,1,7,1,12,Infeasible,1442464
58,1,8,1,12,Infeasible,1442464
59,1,9,1,12,Infeasible,1442464
60,1,10,1,10,Infeasible,1529925
61,1,11,1,12,Infeasible,1442464
62,1,12,1,12,Optimal,1442464
63,1,13,1,12,Optimal,1442464
64,1,14,1,12,Optimal,1442464
65,1,15,1,12,Optimal,1442464
66,1,16,1,12,Optimal,1442464
67,1,17,1,12,Optimal,1442464
68,1,18,1,12,Optimal,1442464
69,1,19,1,12,Optimal,1442464
70,1,20,1,12,Optimal,1442464
71,1,21,1,12,Optimal,1442464
72,1,22,1,12,Optimal,1442464
73,1,23,1,12,Optimal,1442464
74,1,24,1,12,Optimal,1442464
75,1,25,1,12,Optimal,1442464
76,1,26,1,12,Optimal,1442464
77,1,27,1,12,Optimal,1442464
78,1,28,1,12,Optimal,1442464
79,1,29,1,12,Optimal,1442464
80,1,30,1,12,Optimal,1442464
81,1,31,1,12,Optimal,1442464
82,1,32,1,12,Optimal,1442464
83,1,33,1,12,Optimal,1442464
84,1,34,1,12,Optimal,1442464
85,1,35,1,12,Optimal,1442464
86,1,36,1,12,Optimal,1442464
87,1,37,1,12,Optimal,1442464
88,1,38,1,12,Optimal,1442464
89,1,39,1,12,Optimal,1442464
90,1,40,1,12,Optimal,1442464
91,1,41,1,12,Optimal,1442464
92,1,42,1,12,Optimal,1442464
93,1,43,1,12,Optimal,1442464
94,1,44,1,12,Optimal,1442464
95,1,45,1,12,Optimal,1442464
96,1,46,1,12,Optimal,1442464
97,1,47,1,12,Optimal,1442464
98,1,48,1,12,Optimal,1442464
99,1,49,1,12,Optimal,1442464
100,2,0,2,0,Infeasible,4815929
101,2,1,2,1,Infeasible,2002452
102,2,2,2,2,Infeasible,1900191
103,2,3,2,3,Infeasible,1743098
104,2,4,2,4,Infeasible,3096586
105,2,5,2,5,Infeasible,1642540
106,2,6,2,6,Infeasible,1522666
107,2,7,2,7,Infeasible,2361014
108,2,8,2,11,Infeasible,1410163
109,2,9,2,9,Infeasible,1490578
110,2,10,2,10,Infeasible,1417780
111,2,11,2,11,Optimal,1410163
112,2,12,2,11,Optimal,1410163
113,2,13,2,11,Optimal,1410163
114,2,14,2,11,Optimal,1410163
115,2,15,2,11,Optimal,1410163
116,2,16,2,11,Optimal,1410163
117,2,17,2,11,Optimal,1410163
118,2,18,2,11,Optimal,1410163
119,2,19,2,11,Optimal,1410163
120,2,20,2,11,Optimal,1410163
121,2,21,2,11,Optimal,1410163
122,2,22,2,11,Optimal,1410163
123,2,23,2,11,Optimal,1410163
124,2,24,2,11,Optimal,1410163
125,2,25,2,11,Optimal,1410163
126,2,26,2,11,Optimal,1410163
127,2,27,2,11,Optimal,1410163
128,2,28,2,11,Optimal,1410163
129,2,29,2,11,Optimal,1410163
130,2,30,2,11,Optimal,1410163
131,2,31,2,11,Optimal,1410163
132,2,32,2,11,Optimal,1410163
133,2,33,2,11,Optimal,1410163
134,2,34,2,11,Optimal,1410163
135,2,35,2,11,Optimal,1410163
136,2,36,2,11,Optimal,1410163
137,2,37,2,11,Optimal,1410163
138,2,38,2,11,Optimal,1410163
139,2,39,2,11,Optimal,1410163
140,2,40,2,11,Optimal,1410163
141,2,41,2,11,Optimal,1410163
142,2,42,2,11,Optimal,1410163
143,2,43,2,11,Optimal,1410163
144,2,44,2,11,Optimal,1410163
145,2,45,2,11,Optimal,1410163
146,2,46,2,11,Optimal,1410163
147,2,47,2,11,Optimal,1410163
148,2,48,2,11,Optimal,1410163
149,2,49,2,11,Optimal,1410163
150,3,0,3,0,Infeasible,1719023
151,3,1,3,1,Infeasible,5158626
152,3,2,3,2,Infeasible,4593383
153,3,3,3,3,Infeasible,4802024
154,3,4,3,4,Infeasible,2813137
155,3,5,3,5,Infeasible,2542968
156,3,6,3,6,Infeasible,2559170
157,3,7,3,10,Infeasible,1378429
158,3,8,3,8,Infeasible,1447302
159,3,9,3,9,Infeasible,1378430
160,3,10,3,10,Optimal,1378429
161,3,11,3,10,Optimal,1378429
162,3,12,3,10,Optimal,1378429
163,3,13,3,10,Optimal,1378429
164,3,14,3,10,Optimal,1378429
165,3,15,3,10,Optimal,1378429
166,3,16,3,10,Optimal,1378429
167,3,17,3,10,Optimal,1378429
168,3,18,3,10,Optimal,1378429
169,3,19,3,10,Optimal,1378429
170,3,20,3,10,Optimal,1378429
171,3,21,3,10,Optimal,1378429
172,3,22,3,10,Optimal,1378429
173,3,23,3,10,Optimal,1378429
174,3,24,3,10,Optimal,1378429
175,3,25,3,10,Optimal,1378429
176,3,26,3,10,Optimal,1378429
177,3,27,3,10,Optimal,1378429
178,3,28,3,10,Optimal,1378429
179,3,29,3,10,Optimal,1378429
180,3,30,3,10,Optimal,1378429
181,3,31,3,10,Optimal,1378429
182,3,32,3,10,Optimal,1378429
183,3,33,3,10,Optimal,1378429
184,3,34,3,10,Optimal,1378429
185,3,35,3,10,Optimal,1378429
186,3,36,3,10,Optimal,1378429
187,3,37,3,10,Optimal,1378429
188,3,38,3,10,Optimal,1378429
189,3,39,3,10,Optimal,1378429
190,3,40,3,10,Optimal,1378429
191,3,41,3,10,Optimal,1378429
192,3,42,3,10,Optimal,1378429
193,3,43,3,10,Optimal,1378429
194,3,44,3,10,Optimal,1378429
195,3,45,3,10,Optimal,1378429
196,3,46,3,10,Optimal,1378429
197,3,47,3,10,Optimal,1378429
198,3,48,3,10,Optimal,1378429
199,3,49,3,10,Optimal,1378429
